Country,Country_Code,Year,total_pop,pop_dens_sq_km,urban_pop_perc,rural_pop_perc,elect_access_pop,ren_energy_cons_perc,clean_fuel_tech_cook_pop,co2_emiss_excl_lulucf,Gini coefficient (2021 prices),perceptions of criminality,homicide rate,police rate,incarceration rate,Access to small arms,intensity of internal conflict,violent demonstrations,Violent crime,Political instability,Political Terror Scale,weapons imports,terrorism impact,deaths from internal conflict,internal conflicts fought,military expenditure (% gdp),armed services personnel rate,un peacekeeping funding,nuclear and heavy weapons,weapons exports,refugees and idps,Neighbouring countries relations,external conflicts fought,deaths From external conflict,overall score,internal peace,external peace,safety and security,ongoing conflict,militarisation,"Agriculture, forestry, and fishing, value added (% of GDP)",Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Access to electricity (% of population),Adjusted savings: energy depletion (% of GNI),Adjusted savings: carbon dioxide damage (% of GNI),Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (annual % growth)",gdp
Belgium,BEL,2011,11038264.0,363.9028121,97.698,2.302,100.0,6.7,100.0,104.2439,0.2806044,2.4,2.237,2.846,1.77,2.0,1.0,1.0,2.0,1.25,1.5,1.63,1.177,1.0,1.0,1.521,1.543,1.348,1.189,2.408,1.0,1.0,1.675,1.0,1.49,1.602,1.324,1.716,1.062,1.698,0.726239843,0.052898951,0.017518787,100.0,0.035380165,0.549031035,100.0,0.516972906,527196649048.639
Belgium,BEL,2012,11106932.0,366.1666172,97.744,2.256,100.0,7.7,100.0,102.773,0.274905,2.3,2.229,2.825,1.81,2.0,1.0,1.0,2.0,1.25,1.5,1.634,1.177,1.0,1.0,1.502,1.486,1.606,1.187,2.521,1.0,1.0,1.625,1.0,1.495,1.596,1.344,1.708,1.057,1.74,0.844574695,0.049022245,0.014934522,100.0,0.034087723,0.583069069,100.0,1.95811129,498414364944.961
Belgium,BEL,2013,11159407.0,367.8965813,97.789,2.211,100.0,8.3,100.0,104.1691,0.27668858,2.25,2.223,2.714,1.81,2.0,1.0,1.0,2.0,1.25,1.0,1.453,1.093,1.0,1.0,1.507,1.471,1.606,1.185,2.484,1.0,1.0,1.625,1.0,1.455,1.532,1.339,1.629,1.057,1.711,0.764565478,0.044645677,0.014135906,100.0,0.030509772,0.583996286,100.0,-8.581499939,524097026598.55
Belgium,BEL,2014,11209057.0,369.5334125,97.833,2.167,100.0,9.1,100.0,97.4685,0.28134012,2.6,2.218,2.726,1.833,2.0,1.0,1.0,2.0,1.25,1.0,1.27,1.049,1.0,1.0,1.459,1.442,1.237,1.183,2.066,1.0,1.0,1.625,1.0,1.433,1.546,1.263,1.66,1.057,1.563,0.716518219,0.050077279,0.012893655,100.0,0.037183624,0.555241127,100.0,7.58542747,537987419164.351
Belgium,BEL,2015,11274196.0,371.6808756,97.876,2.124,100.0,9.4,100.0,102.0938,0.2772931,2.3,2.215,2.726,1.833,2.0,1.0,2.0,2.0,1.25,1.0,1.282,1.757,1.0,1.0,1.445,1.416,1.432,1.183,1.499,1.0,1.0,1.675,1.0,1.46,1.621,1.218,1.763,1.062,1.482,0.750617272,0.023255181,0.011037547,100.0,0.012217634,0.7054996,100.0,15.07755052,461044767544.531
Belgium,BEL,2016,11331422.0,373.5674678,97.919,2.081,100.0,9.2,100.0,101.0047,0.2758074,2.45,2.212,2.689,1.746,2.0,1.0,1.75,2.0,1.25,1.0,1.302,1.634,1.0,1.0,1.416,1.415,1.259,1.191,1.499,1.0,1.0,1.85,1.0,1.449,1.602,1.219,1.736,1.078,1.462,0.673190544,0.019605993,0.010682131,100.0,0.008923862,0.703991277,100.0,-7.359179509,474271566739.729
Belgium,BEL,2017,11375158.0,375.0093298,97.961,2.039,100.0,9.7,100.0,99.4023,0.2738765,2.45,2.207,2.675,1.746,3.0,1.0,2.25,2.0,1.25,1.0,1.277,2.965,2.009,1.421,1.387,1.397,1.279,1.187,1.249,1.0,1.0,1.95,1.0,1.607,1.879,1.198,1.856,1.334,1.588,0.729532583,0.025323654,0.009450136,100.0,0.015873518,0.683778612,100.0,4.854368932,500908767351.53
Belgium,BEL,2018,11427054.0,374.7435149,98.001,1.999,100.0,10.7,100.0,100.1343,0.272142,2.4,2.204,2.663,1.714,3.0,1.0,2.25,2.0,1.25,1.0,1.249,2.708,1.0,1.421,1.43,1.385,1.236,1.184,1.239,1.0,1.0,1.875,1.0,1.529,1.755,1.19,1.833,1.124,1.581,0.664625571,0.033363816,0.010617048,100.0,0.022746768,0.669481857,100.0,-9.126589276,542638913427.921
Belgium,BEL,2019,11488980.0,376.761986,98.041,1.959,100.0,10.2,100.0,100.0509,0.27219555,2.65,2.201,2.672,1.714,3.0,1.0,2.5,2.0,1.25,1.0,1.195,2.506,1.16,1.684,1.425,1.353,1.124,1.175,1.159,1.0,1.0,1.975,1.0,1.555,1.807,1.178,1.865,1.192,1.541,0.718789584,0.029264626,0.008317203,100.0,0.020947423,0.701062091,100.0,4.531905834,536726344405.489
Belgium,BEL,2020,11538604.0,378.3893225,98.079,1.921,100.0,12.3,100.0,92.3731,0.2595828,2.75,2.198,2.646,1.714,3.0,1.0,3.25,2.0,1.25,1.0,1.088,2.208,1.0,1.684,1.43,1.35,1.049,1.176,1.281,1.0,1.0,1.9,1.0,1.567,1.825,1.18,1.92,1.153,1.541,0.712818024,0.018831627,0.007552601,100.0,0.011279027,0.684119808,100.0,-3.814594972,529694473501.791
Bolivia,BOL,2008,9850858.0,9.093379489,65.535,34.465,84.7,21.3,72.9,12.7492,0.5081494,3.9,2.926,2.392,1.595,4.0,2.0,1.5,3.0,3.5,2.5,1.026,1.216,1.0,1.0,1.593,1.648,3.0,1.024,1.0,1.001,2.0,1.0,1.0,1.95,2.311,1.409,2.421,1.403,1.918,10.44240412,7.221068136,0.0,84.7,4.646979883,2.180220022,72.9,2.614980176,16674276285.8956
Bolivia,BOL,2009,10016275.0,9.246076802,65.984,34.016,86.8,20.6,74.4,13.5964,0.49220297,3.75,2.902,2.73,1.595,4.0,3.0,1.5,3.0,3.375,2.5,1.022,1.216,1.0,1.0,1.593,1.721,3.0,1.024,1.0,1.002,2.0,1.0,1.0,2.015,2.415,1.414,2.42,1.604,1.926,11.15240745,3.674830574,0.0,86.8,2.402453052,2.319935242,74.4,3.681939134,17339992193.7322
Bolivia,BOL,2010,10182345.0,9.399376904,66.43,33.57,88.0,19.9,75.8,14.7076,0.49220297,4.1,2.878,2.758,1.738,4.0,3.0,1.5,3.0,3.0,2.5,1.028,1.216,1.0,1.0,1.669,1.721,3.0,1.024,1.0,1.002,2.0,1.0,1.0,2.017,2.415,1.419,2.419,1.604,1.936,10.3899057,5.179731556,0.0,88.0,2.652899651,2.310851975,75.8,-1.178079653,19649723722.1034
Bolivia,BOL,2011,10348929.0,9.553151482,66.874,33.126,88.3,18.1,77.2,16.0021,0.46080363,3.7,2.855,2.775,1.738,4.0,3.0,1.5,3.0,3.25,1.5,1.027,1.216,1.0,1.0,1.66,1.684,1.8,1.023,1.0,1.002,2.0,1.0,1.0,1.928,2.326,1.331,2.294,1.604,1.789,9.769585882,8.191108296,0.0,88.3,4.259458165,2.15625862,77.2,3.055873223,23963164696.592
Bolivia,BOL,2012,10515807.0,9.707197452,67.315,32.685,90.4,17.4,78.6,16.9694,0.4657997,3.8,2.833,2.77,2.079,4.0,3.0,1.5,3.0,3.375,2.0,1.048,1.216,1.0,1.0,1.593,1.685,3.0,1.023,1.0,1.002,2.0,1.0,1.0,2.007,2.405,1.411,2.404,1.604,1.925,9.812161915,9.578649969,0.0,90.4,7.056175282,2.126244667,78.6,4.149438574,27084497481.9103
Bolivia,BOL,2013,10682608.0,9.861172344,67.699,32.301,89.5,16.0,79.9,18.024,0.4758858,3.9,2.812,2.735,2.079,4.0,3.0,1.5,3.0,3.125,2.0,1.06,1.106,1.0,1.0,1.588,1.682,3.0,1.022,1.0,1.002,2.0,1.0,1.0,1.993,2.382,1.411,2.371,1.604,1.925,9.966979477,9.56004042,0.0,89.5,7.521662616,2.106938069,79.9,4.685121638,30659338885.6729
